Customer ID,Gender,Age,City,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Days Since Last Purchase,Satisfaction Level
1784,Female,56,New York,Silver,977.0,6,2.0,FALSE,164,Satisfied
3457,Female,48,Los Angeles,Silver,2583.71,32,1.5,FALSE,54,Satisfied
5401,Female,29,Houston,Silver,1929.27,34,2.0,TRUE,183,Satisfied
627,Female,25,Chicago,Silver,1025.32,3,1.1,True,69,Unsatisfied
1487,Female,30,San Francisco,Bronze,407.01,49,4.2,TRUE,43,Neutral
498,Male,55,Houston,Bronze,855.05,9,3.4,False,120,Satisfied
5973,Female,48,San Francisco,Gold,2029.25,24,1.2,TRUE,80,Neutral
4801,Male,49,San Francisco,Silver,1116.56,3,2.2,TRUE,30,Neutral
5236,Female,49,San Francisco,Bronze,2380.67,24,3.2,TRUE,271,Neutral
4827,Male,25,San Francisco,Bronze,2881.16,34,4.8,FALSE,150,Unsatisfied
4459,Female,32,Houston,Bronze,1806.34,10,2.6,TRUE,54,Satisfied
4956,Female,44,Houston,Silver,618.03,40,4.3,FALSE,155,Neutral
5794,Male,54,San Francisco,Gold,581.28,29,4.0,TRUE,131,Satisfied
5960,Female,43,New York,Bronze,229.68,4,1.2,FALSE,150,Unsatisfied
6146,Male,67,Los Angeles,Gold,2531.47,43,4.2,TRUE,120,Satisfied
1187,Male,23,San Francisco,Silver,2874.26,25,2.4,False,163,Unsatisfied
3501,Male,32,Chicago,Silver,596.49,1,2.7,FALSE,141,Unsatisfied
3932,Female,65,Los Angeles,Gold,887.47,27,2.0,TRUE,134,Unsatisfied
869,Female,28,New York,Bronze,2061.5,8,4.2,True,52,Satisfied
4556,Male,33,Los Angeles,Silver,242.11,6,4.4,TRUE,13,Neutral
5618,Female,20,New York,Silver,1609.75,3,1.0,TRUE,79,Unsatisfied
2782,Male,37,San Francisco,Gold,1643.22,44,4.1,FALSE,287,Satisfied
2035,Female,61,Miami,Bronze,2842.44,43,1.1,FALSE,68,Neutral
1855,Female,51,San Francisco,Bronze,1216.51,23,4.2,TRUE,75,Satisfied
3966,Female,52,Los Angeles,Silver,1131.29,17,1.3,TRUE,265,Neutral
3236,Female,40,New York,Bronze,2318.82,20,4.8,FALSE,269,Unsatisfied
4116,Male,38,New York,Gold,563.15,34,1.6,TRUE,178,Neutral
812,Male,60,Houston,Bronze,2643.38,48,4.9,True,4,Neutral
3974,Male,42,New York,Bronze,775.68,11,3.8,TRUE,146,Neutral
1131,Male,60,Chicago,Gold,154.41,5,3.4,False,40,Unsatisfied
2309,Male,31,Chicago,Silver,2555.03,39,1.5,TRUE,199,Satisfied
997,Male,21,Chicago,Silver,380.34,20,3.1,False,167,Satisfied
1099,Male,44,San Francisco,Silver,1976.56,31,2.3,True,53,Unsatisfied
2179,Female,46,Chicago,Silver,2704.48,45,4.7,TRUE,41,Neutral
2732,Female,47,New York,Silver,1393.91,23,4.0,TRUE,218,Neutral
2596,Male,58,Miami,Gold,2859.91,41,4.4,FALSE,171,Satisfied
2821,Male,66,Miami,Bronze,651.35,43,3.3,FALSE,93,Neutral
5799,Male,69,Chicago,Bronze,639.84,28,4.9,TRUE,132,Neutral
3133,Female,61,Chicago,Gold,1242.55,39,4.2,FALSE,96,Satisfied
5218,Female,70,Chicago,Silver,2977.01,26,3.9,FALSE,351,Unsatisfied
4447,Female,32,Chicago,Silver,2785.67,8,4.0,FALSE,351,Neutral
2161,Female,31,Los Angeles,Silver,1397.55,17,3.3,TRUE,326,Neutral
2308,Male,20,Houston,Bronze,1404.12,4,2.1,TRUE,162,Neutral
872,Male,67,Miami,Silver,540.12,45,2.9,True,319,Satisfied
3564,Female,35,Los Angeles,Bronze,2352.98,14,4.3,TRUE,201,Unsatisfied
2779,Female,20,San Francisco,Silver,1325.97,16,2.9,FALSE,334,Satisfied
